Destination,Type,Budget (INR),Duration (days),Rating,Climate,Popularity,Best Season,Latitude,Longitude,Best Food to Try,Best Mode of Transportation
Jaipur,Historical,11989,2,4.8,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ranthambore,Wildlife,19372,3,4.9,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Hampi,Heritage,12716,4,4.6,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ladakh,Adventure,31553,6,4.4,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Rishikesh,Adventure,14908,4,4.6,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Manali,Hill Station,16775,6,4.1,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Manali,Hill Station,15774,5,4.5,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Kaziranga,Wildlife,20023,4,4.9,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Mysore,Cultural,9205,2,4.1,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Kaziranga,Wildlife,19209,4,4.5,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Hampi,Heritage,13386,3,4.2,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Udaipur,Historical,12512,2,4.8,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Ladakh,Adventure,29664,6,4.8,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Hampi,Heritage,11456,2,4.4,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Andaman,Beach,26168,5,4.4,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Jaipur,Historical,11159,2,4.1,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Manali,Hill Station,15427,6,4.1,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Darjeeling,Hill Station,15054,4,4.3,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Shimla,Hill Station,18529,5,4.9,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Ranthambore,Wildlife,22925,2,4.8,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ooty,Hill Station,12274,4,4.4,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Ooty,Hill Station,15707,3,4.7,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Ranthambore,Wildlife,20911,4,4.7,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Shimla,Hill Station,14227,3,4.3,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Goa,Beach,22910,4,4.1,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Mysore,Cultural,10044,2,4.5,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Shimla,Hill Station,18956,4,4.1,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Manali,Hill Station,13329,5,4.1,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Rishikesh,Adventure,13494,4,4.8,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,17950,3,4.0,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Ooty,Hill Station,16465,2,4.5,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Jaipur,Historical,11910,3,4.4,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Udaipur,Historical,16711,4,4.5,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Hampi,Heritage,12731,2,4.0,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Udaipur,Historical,16179,2,4.4,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Darjeeling,Hill Station,17243,5,4.3,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Hampi,Heritage,11150,3,4.5,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Darjeeling,Hill Station,16328,5,4.4,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,14130,2,4.8,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ooty,Hill Station,13182,2,4.0,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Ladakh,Adventure,30726,6,4.2,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Jaipur,Historical,10574,3,4.2,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Mysore,Cultural,8884,2,4.1,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Ranthambore,Wildlife,18133,4,4.7,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Kaziranga,Wildlife,20826,4,4.2,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Munnar,Hill Station,18885,4,4.8,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Jaipur,Historical,10766,4,4.1,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Munnar,Hill Station,16580,2,4.8,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Mysore,Cultural,9070,3,4.2,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Manali,Hill Station,17256,4,4.8,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Ooty,Hill Station,16280,2,4.5,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Ladakh,Adventure,30355,6,4.8,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Shimla,Hill Station,15054,3,4.6,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
